location,orientation,ac_scenario,case_name,Cooling,Fans,Heating,Interior Equipment,Interior Lighting,Total End Uses,hvac
Jakarta,South,No_AC,LowEWin_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,Overhang_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,Shade_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,Shade_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,SolarWin_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,SolarWin_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,West,Bedroom_AC_Only,Baseline,646.25,43.44,0.0,2176.06,501.28,3367.04,689.69
Jakarta,West,Bedroom_AC_Only,CeilingFan_1,242.69,15.86,0.0,2176.06,501.28,2935.88,258.55
Jakarta,West,Bedroom_AC_Only,CeilingFan_2,138.14,8.87,0.0,2176.06,501.28,2824.35,147.01
Jakarta,West,Bedroom_AC_Only,CeilingFan_NoSetback_1,646.25,43.44,0.0,2176.06,501.28,3367.04,689.69
Jakarta,West,Bedroom_AC_Only,CeilingFan_NoSetback_2,646.25,43.44,0.0,2176.06,501.28,3367.04,689.69
Jakarta,West,Bedroom_AC_Only,CoolRoof_1,600.22,40.34,0.0,2176.06,501.28,3317.91,640.5600000000001
Jakarta,West,Bedroom_AC_Only,CoolRoof_2,540.91,36.35,0.0,2176.06,501.28,3254.6,577.26
Jakarta,West,Bedroom_AC_Only,CoolWall_1,549.23,36.99,0.0,2176.06,501.28,3263.57,586.22
Jakarta,West,Bedroom_AC_Only,CoolWall_2,441.95,29.79,0.0,2176.06,501.28,3149.08,471.74
Jakarta,West,Bedroom_AC_Only,HybridNV_OperationSchd_1,564.75,37.83,0.0,2176.06,501.28,3279.92,602.58
Jakarta,West,Bedroom_AC_Only,HybridNV_OperationSchd_2,564.48,37.81,0.0,2176.06,501.28,3279.63,602.29
Jakarta,West,Bedroom_AC_Only,HybridNV_WindowOpen_1,515.56,34.44,0.0,2176.06,501.28,3227.34,550.0
Jakarta,West,Bedroom_AC_Only,HybridNV_WindowOpen_2,515.07,34.4,0.0,2176.06,501.28,3226.82,549.47
Jakarta,West,Bedroom_AC_Only,InsRoof_1,532.19,35.79,0.0,2176.06,501.28,3245.32,567.98
Jakarta,West,Bedroom_AC_Only,InsRoof_2,504.55,33.9,0.0,2176.06,501.28,3215.8,538.45
Jakarta,West,Bedroom_AC_Only,InsWall_1,565.93,38.06,0.0,2176.06,501.28,3281.33,603.99
Jakarta,West,Bedroom_AC_Only,InsWall_2,565.93,38.06,0.0,2176.06,501.28,3281.33,603.99
Jakarta,West,Bedroom_AC_Only,LowEWin_1,544.52,36.67,0.0,2176.06,501.28,3258.54,581.1899999999999
Jakarta,West,Bedroom_AC_Only,LowEWin_2,534.12,35.98,0.0,2176.06,501.28,3247.44,570.1
Jakarta,West,Bedroom_AC_Only,Overhang_1,604.84,40.71,0.0,2176.06,501.28,3322.89,645.5500000000001
Jakarta,West,Bedroom_AC_Only,Shade_1,691.48,46.13,0.0,2176.06,501.28,3414.95,737.61
